N 16 iterations 10000 res 0.00000000e+00 bmag 1.00000000e+00 rel 0.00000000e+00
N 64 iterations 10000 res 9.98260579e-07 bmag 1.00000000e+00 rel 9.98260579e-07
N 256 iterations 10000 res 5.86347497e-02 bmag 1.00000000e+00 rel 5.86347497e-02
N 256 iterations 20000 res 2.74508305e-02 bmag 1.00000000e+00 rel 2.74508305e-02
N 256 iterations 30000 res 1.28516058e-02 bmag 1.00000000e+00 rel 1.28516058e-02
N 256 iterations 40000 res 6.01671312e-03 bmag 1.00000000e+00 rel 6.01671312e-03
N 1024 iterations 10000 res 7.51120850e-02 bmag 1.00000000e+00 rel 7.51120850e-02
N 1024 iterations 20000 res 6.31615489e-02 bmag 1.00000000e+00 rel 6.31615489e-02
N 1024 iterations 30000 res 5.70637717e-02 bmag 1.00000000e+00 rel 5.70637717e-02
N 1024 iterations 40000 res 5.30358012e-02 bmag 1.00000000e+00 rel 5.30358012e-02
N 1024 iterations 50000 res 4.99618065e-02 bmag 1.00000000e+00 rel 4.99618065e-02
N 1024 iterations 60000 res 4.73756869e-02 bmag 1.00000000e+00 rel 4.73756869e-02
N 1024 iterations 70000 res 4.50652966e-02 bmag 1.00000000e+00 rel 4.50652966e-02
N 1024 iterations 80000 res 4.29319449e-02 bmag 1.00000000e+00 rel 4.29319449e-02
N 1024 iterations 90000 res 4.09286233e-02 bmag 1.00000000e+00 rel 4.09286233e-02
N 1024 iterations 100000 res 3.90318453e-02 bmag 1.00000000e+00 rel 3.90318453e-02
N 1024 iterations 110000 res 3.72288387e-02 bmag 1.00000000e+00 rel 3.72288387e-02
N 1024 iterations 120000 res 3.55117531e-02 bmag 1.00000000e+00 rel 3.55117531e-02
N 1024 iterations 130000 res 3.38750458e-02 bmag 1.00000000e+00 rel 3.38750458e-02
N 1024 iterations 140000 res 3.23143036e-02 bmag 1.00000000e+00 rel 3.23143036e-02
N 1024 iterations 150000 res 3.08257083e-02 bmag 1.00000000e+00 rel 3.08257083e-02
N 1024 iterations 160000 res 2.94057938e-02 bmag 1.00000000e+00 rel 2.94057938e-02
N 1024 iterations 170000 res 2.80513322e-02 bmag 1.00000000e+00 rel 2.80513322e-02
N 1024 iterations 180000 res 2.67592802e-02 bmag 1.00000000e+00 rel 2.67592802e-02
N 1024 iterations 190000 res 2.55267501e-02 bmag 1.00000000e+00 rel 2.55267501e-02
N 1024 iterations 200000 res 2.43509946e-02 bmag 1.00000000e+00 rel 2.43509946e-02
N 1024 iterations 210000 res 2.32293961e-02 bmag 1.00000000e+00 rel 2.32293961e-02
N 1024 iterations 220000 res 2.21594589e-02 bmag 1.00000000e+00 rel 2.21594589e-02
N 1024 iterations 230000 res 2.11388030e-02 bmag 1.00000000e+00 rel 2.11388030e-02
N 1024 iterations 240000 res 2.01651583e-02 bmag 1.00000000e+00 rel 2.01651583e-02
N 1024 iterations 250000 res 1.92363594e-02 bmag 1.00000000e+00 rel 1.92363594e-02
N 1024 iterations 260000 res 1.83503406e-02 bmag 1.00000000e+00 rel 1.83503406e-02
N 1024 iterations 270000 res 1.75051315e-02 bmag 1.00000000e+00 rel 1.75051315e-02
N 1024 iterations 280000 res 1.66988524e-02 bmag 1.00000000e+00 rel 1.66988524e-02
N 1024 iterations 290000 res 1.59297102e-02 bmag 1.00000000e+00 rel 1.59297102e-02
N 1024 iterations 300000 res 1.51959943e-02 bmag 1.00000000e+00 rel 1.51959943e-02
N 1024 iterations 310000 res 1.44960731e-02 bmag 1.00000000e+00 rel 1.44960731e-02
N 1024 iterations 320000 res 1.38283900e-02 bmag 1.00000000e+00 rel 1.38283900e-02
N 1024 iterations 330000 res 1.31914601e-02 bmag 1.00000000e+00 rel 1.31914601e-02
N 1024 iterations 340000 res 1.25838669e-02 bmag 1.00000000e+00 rel 1.25838669e-02
N 1024 iterations 350000 res 1.20042592e-02 bmag 1.00000000e+00 rel 1.20042592e-02
N 1024 iterations 360000 res 1.14513480e-02 bmag 1.00000000e+00 rel 1.14513480e-02
N 1024 iterations 370000 res 1.09239037e-02 bmag 1.00000000e+00 rel 1.09239037e-02
N 1024 iterations 380000 res 1.04207532e-02 bmag 1.00000000e+00 rel 1.04207532e-02
